2020-04-09 00:15:48.452 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...environmentPrepared..Windows 10
2020-04-09 00:15:48.820 [main] INFO  c.m.l.s.HelloApplicationContextInitializer - ApplicationContextInitializer...initialize...org.springframework.web.context.support.GenericWebApplicationContext@6f815e7f, started on Thu Jan 01 08:00:00 CST 1970
2020-04-09 00:15:48.830 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...contextPrepared...
2020-04-09 00:15:48.886 [main] INFO  com.momolela.MailSenderTests - Starting MailSenderTests on DESKTOP-QMV0PHF with PID 15288 (started by Administrator in E:\idea\springboot)
2020-04-09 00:15:48.915 [main] INFO  com.momolela.MailSenderTests - The following profiles are active: dev
2020-04-09 00:15:49.067 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...contextLoaded...
2020-04-09 00:15:52.490 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-09 00:15:52.498 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-04-09 00:15:52.589 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 49ms. Found 0 repository interfaces.
2020-04-09 00:15:53.976 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-09 00:15:56.886 [main] INFO  com.momolela.config.MyAppConfig - 通过@Configuration和@Bean注解添加helloWorldService对象到容器中了
2020-04-09 00:15:59.449 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-09 00:16:05.308 [main] INFO  io.searchbox.client.AbstractJestClient - Setting server pool to a list of 1 servers: [http://127.0.0.1:9200]
2020-04-09 00:16:05.311 [main] INFO  io.searchbox.client.JestClientFactory - Using multi thread/connection supporting pooling connection manager
2020-04-09 00:16:05.517 [main] INFO  io.searchbox.client.JestClientFactory - Using custom GSON instance
2020-04-09 00:16:05.518 [main] INFO  io.searchbox.client.JestClientFactory - Node Discovery disabled...
2020-04-09 00:16:05.518 [main] INFO  io.searchbox.client.JestClientFactory - Idle connection reaping disabled...
2020-04-09 00:16:05.859 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-04-09 00:16:06.138 [main] INFO  com.momolela.MailSenderTests - Started MailSenderTests in 19.681 seconds (JVM running for 24.323)
2020-04-09 00:16:06.140 [main] INFO  c.m.l.s.HelloApplicationRunner - ApplicationRunner...run....
2020-04-09 00:16:06.141 [main] INFO  c.m.l.s.HelloCommandLineRunner - CommandLineRunner...run...[]
2020-04-09 00:16:06.933 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-04-09 00:16:06.937 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-09 00:17:45.268 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...environmentPrepared..Windows 10
2020-04-09 00:17:45.623 [main] INFO  c.m.l.s.HelloApplicationContextInitializer - ApplicationContextInitializer...initialize...org.springframework.web.context.support.GenericWebApplicationContext@1358b28e, started on Thu Jan 01 08:00:00 CST 1970
2020-04-09 00:17:45.631 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...contextPrepared...
2020-04-09 00:17:45.644 [main] INFO  com.momolela.MailSenderTests - Starting MailSenderTests on DESKTOP-QMV0PHF with PID 19100 (started by Administrator in E:\idea\springboot)
2020-04-09 00:17:45.645 [main] INFO  com.momolela.MailSenderTests - The following profiles are active: dev
2020-04-09 00:17:45.796 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...contextLoaded...
2020-04-09 00:17:49.016 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-09 00:17:49.023 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-04-09 00:17:49.088 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 31ms. Found 0 repository interfaces.
2020-04-09 00:17:50.216 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-09 00:17:52.549 [main] INFO  com.momolela.config.MyAppConfig - 通过@Configuration和@Bean注解添加helloWorldService对象到容器中了
2020-04-09 00:17:54.699 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-09 00:18:00.724 [main] INFO  io.searchbox.client.AbstractJestClient - Setting server pool to a list of 1 servers: [http://127.0.0.1:9200]
2020-04-09 00:18:00.727 [main] INFO  io.searchbox.client.JestClientFactory - Using multi thread/connection supporting pooling connection manager
2020-04-09 00:18:00.918 [main] INFO  io.searchbox.client.JestClientFactory - Using custom GSON instance
2020-04-09 00:18:00.919 [main] INFO  io.searchbox.client.JestClientFactory - Node Discovery disabled...
2020-04-09 00:18:00.919 [main] INFO  io.searchbox.client.JestClientFactory - Idle connection reaping disabled...
2020-04-09 00:18:01.181 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-04-09 00:18:01.471 [main] INFO  com.momolela.MailSenderTests - Started MailSenderTests in 17.815 seconds (JVM running for 21.265)
2020-04-09 00:18:01.474 [main] INFO  c.m.l.s.HelloApplicationRunner - ApplicationRunner...run....
2020-04-09 00:18:01.475 [main] INFO  c.m.l.s.HelloCommandLineRunner - CommandLineRunner...run...[]
2020-04-09 00:18:02.786 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-04-09 00:18:02.796 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-09 00:20:00.313 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...environmentPrepared..Windows 10
2020-04-09 00:20:00.618 [main] INFO  c.m.l.s.HelloApplicationContextInitializer - ApplicationContextInitializer...initialize...org.springframework.web.context.support.GenericWebApplicationContext@535b8c24, started on Thu Jan 01 08:00:00 CST 1970
2020-04-09 00:20:00.625 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...contextPrepared...
2020-04-09 00:20:00.639 [main] INFO  com.momolela.MailSenderTests - Starting MailSenderTests on DESKTOP-QMV0PHF with PID 17312 (started by Administrator in E:\idea\springboot)
2020-04-09 00:20:00.641 [main] INFO  com.momolela.MailSenderTests - The following profiles are active: dev
2020-04-09 00:20:00.964 [main] INFO  c.m.l.s.HelloSpringApplicationRunListener - SpringApplicationRunListener...contextLoaded...
2020-04-09 00:20:04.726 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-09 00:20:04.732 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-04-09 00:20:04.891 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 105ms. Found 0 repository interfaces.
2020-04-09 00:20:06.394 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-09 00:20:08.782 [main] INFO  com.momolela.config.MyAppConfig - 通过@Configuration和@Bean注解添加helloWorldService对象到容器中了
2020-04-09 00:20:11.015 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-09 00:20:16.779 [main] INFO  io.searchbox.client.AbstractJestClient - Setting server pool to a list of 1 servers: [http://127.0.0.1:9200]
2020-04-09 00:20:16.781 [main] INFO  io.searchbox.client.JestClientFactory - Using multi thread/connection supporting pooling connection manager
2020-04-09 00:20:16.998 [main] INFO  io.searchbox.client.JestClientFactory - Using custom GSON instance
2020-04-09 00:20:16.998 [main] INFO  io.searchbox.client.JestClientFactory - Node Discovery disabled...
2020-04-09 00:20:16.998 [main] INFO  io.searchbox.client.JestClientFactory - Idle connection reaping disabled...
2020-04-09 00:20:17.239 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-04-09 00:20:17.571 [main] INFO  com.momolela.MailSenderTests - Started MailSenderTests in 18.957 seconds (JVM running for 22.422)
2020-04-09 00:20:17.582 [main] INFO  c.m.l.s.HelloApplicationRunner - ApplicationRunner...run....
2020-04-09 00:20:17.583 [main] INFO  c.m.l.s.HelloCommandLineRunner - CommandLineRunner...run...[]
2020-04-09 00:20:23.488 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-04-09 00:20:23.491 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
